,Calle,Colonia,Delegacion,Estado,Foto,HerramientasFaltantes,HerramientasSobrantes,Hora,HoradelReporte,ManodeObraFaltante,ManodeObraSobrantes,MedicamentosFaltantes,MedicamentosSobrantes,NumeroExterioroAproximado,NumerodePersonasAtrapadas,NumerodePersonasDesaparecidas,NumerodePersonasFallecidas,NumerodePersonasLesionadas,NumerodePersonasRescatadas,OtraReferenciadeUbicacion,Timestamp,TipodeInfraestructura,TipodeUso,TipodelDano,Verificado,ViveresFaltantes,ViveresSobrantes,latitud,longitud
40,,Santiago ,Puebla,Puebla,,,,,,,,,,,,,,,,,2017-09-19 19:18:30,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza",,19.0412967,-98.2061996
41,,EL FORTIN,ZAPOPAN,JALISCO,,,,,,,,,,,,,,,,,2017-09-19 19:20:01,,,Ofrezco,,"Comida, Agua, Artículos de limpieza, Medicamentos, Ropa",,20.6432022,-103.4756929
42,,Asturias,Iztacalco,CDMX,,,,,,,,,,,,,,,,,2017-09-19 19:21:22,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Manos, Artículos de limpieza, Ropa",,19.4077464,-99.131088
43,,Santa fe,Cruz manca,Ciudad de mexico,,,,,,,,,,,,,,,,,2017-09-19 19:23:24,,,Ofrezco,,"Comida, Agua, Manos, Ropa",,19.361991,-99.2664012
44,,San Miguel Chapultepec,Miguel Hidalgo,CDMX,,,,,,,,,,,,,,,,,2017-09-19 19:25:02,,,Ofrezco,,"Agua, Manos, Medicamentos, Ropa",,19.4114729,-99.1885208
45,,Lomas anahuac ,Huixquilucan,Estado de mexico,,,,,,,,,,,,,,,,,2017-09-19 19:26:11,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Manos, Asistencia médica",,19.4047195,-99.2633141
46,,Santo Domingo ,Coyoacán ,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-19 19:26:24,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Manos",,19.3344176,-99.1721766
47,,Bosques de las Palmas,Huixquilucan,México ,,,,,,,,,,,,,,,,,2017-09-19 19:27:01,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Ropa",,19.4010652,-99.2771723
48,,Santa cruz meyehualco,Iztapalapa,Distrito federal,,,,,,,,,,,,,,,,,2017-09-19 19:28:52,,,Ofrezco,,"Agua, Refugio / Dónde dormir, Manos",,19.3498841,-99.0399895
49,,Anzures ,Miguel Hidalgo ,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-19 19:29:05,,,Ofrezco,,Manos,,19.4326577,-99.1774462
50,,Acoxpa,Coyoacán ,Mexico DF  Calle Brujas,,,,,,,,,,,,,,,,,2017-09-19 19:30:40,,,Necesito,,"Agua, Manos, Ropa, sabanas",,19.2969115,-99.1253766
51,,San Juan Xalpa,Iztapalapa,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-19 19:31:07,,,Ofrezco,,"Agua, Refugio / Dónde dormir, Manos",,19.3342713,-99.083374
52,,Napoles,Benito Juarez ,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-19 19:33:37,,,Ofrezco,,"Comida, Agua, Manos",,19.4288124,-99.1612404
53,,Arb,Gustavo A Madero,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-19 19:33:53,,,Ofrezco,,"Agua, Manos, Artículos de limpieza, Ropa",,31.7273122,-106.4406786
54,,Real de Arcos,Toluca,Mexico,,,,,,,,,,,,,,,,,2017-09-19 19:33:59,,,Ofrezco,,Medicamentos,,19.2630813,-99.623696
55,,Portal de Zuazua,General Zuazua,Nuevo León,,,,,,,,,,,,,,,,,2017-09-19 19:37:01,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Manos",,25.8713888,-100.1880555
56,,Frac. Lomas de Río Medio 4,Veracruz,Veracruz,,,,,,,,,,,,,,,,,2017-09-19 19:37:07,,,Ofrezco,,Refugio / Dónde dormir,,19.1905474,-96.212791
57,,Roma-Condesa,Cuauhtémoc,DF,,,,,,,,,,,,,,,,,2017-09-19 19:37:39,,,Ofrezco,,"Refugio / Dónde dormir, Manos, Asistencia médica, Ropa",,19.4294428,-99.157727
58,,Lomas del Chamizal,Cuajimalpa de Morelos,Ciudad de Mexico,,,,,,,,,,,,,,,,,2017-09-19 19:38:14,,,Ofrezco,,"Comida, Agua, Manos, Medicamentos, Carpas, tiendas de campaña, Ropa",,19.393572,-99.2603479
59,,Tacuba,Miguel hidalgo ,Cdmx,,,,,,,,,,,,,,,,,2017-09-19 19:38:31,,,Ofrezco,,Manos,,19.4355548,-99.1369868
60,,Aragon,Gam,Cdmx,,,,,,,,,,,,,,,,,2017-09-19 19:38:48,,,Ofrezco,,Manos,,19.3977116,-99.1383758
61,,San Vicente Ferrer ,,Puebla,,,,,,,,,,,,,,,,,2017-09-19 19:39:33,,,Ofrezco,,"Manos, Ropa",,18.3937527,-98.3062917
62,,San José insurgentes ,Benito Juárez ,DF ,,,,,,,,,,,,,,,,,2017-09-19 19:40:24,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Transporte, Manos, Artículos de limpieza, Ropa",,19.3062962,-99.1862779
63,,Florida,Ocotlán,Jalisco,,,,,,,,,,,,,,,,,2017-09-19 19:42:38,,,Ofrezco,,Manos,,20.3600146,-102.7752919
64,,Puebla,Puebla,Puebla,,,,,,,,,,,,,,,,,2017-09-19 19:45:32,,,Ofrezco,,"Comida, Agua, Manos",,19.0412967,-98.2061996
65,,San Rafael,Cuauhtémoc,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-19 19:45:35,,,Ofrezco,,"Agua, Manos, Ropa",,19.2784811,-99.0101352
66,,Acacias,Benito Juarez,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-19 19:46:12,,,Ofrezco,,"Refugio / Dónde dormir, Manos",,19.3636967,-99.1733329
67,,B. Morelos,C. Izcalli,Mexico,,,,,,,,,,,,,,,,,2017-09-19 19:47:15,,,Ofrezco,,"Agua, Manos, Asistencia médica, Ropa",,19.4468231,-99.1303962
68,,vta 500,puerto Vallarta,Jalisco,,,,,,,,,,,,,,,,,2017-09-19 19:50:09,,,Ofrezco,,"Comida, Agua, Artículos de limpieza, Ropa",,20.6195162,-105.2302456
69,,Mixcoac,Alvaro obregon,Cdmx,,,,,,,,,,,,,,,,,2017-09-19 19:53:00,,,Ofrezco,,"Manos, Ropa",,19.3723335,-99.1905974
70,,Barrio San miguel,Iztapalapa,Cdmx,,,,,,,,,,,,,,,,,2017-09-19 19:58:33,,,Ofrezco,,"Agua, Manos, Ropa, Intervención psicoterapeutica en crisis ",,19.3906357,-99.120843
71,,Pedregal santo domingo,Coyoacan,Cdmx,,,,,,,,,,,,,,,,,2017-09-19 20:03:23,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Manos, Artículos de limpieza",,19.3344176,-99.1721766
72,,,Álvaro Obregón ,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-19 20:03:33,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza, Medicamentos",,19.4326077,-99.133208
73,,Anahuac,Miguel Hidalgo ,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-19 20:05:24,,,Ofrezco,,"Comida, Agua, Artículos de limpieza, Ropa",,19.4489659,-99.1862341
74,,Cruz Manca,Cuajimalpa,CDMX,,,,,,,,,,,,,,,,,2017-09-19 20:08:40,,,Ofrezco,,Manos,,19.3442605,-99.273786
75,,Residencial Agua Caliente,Tijuana,Baja California,,,,,,,,,,,,,,,,,2017-09-19 20:11:24,,,Ofrezco,,$500 pesos,,32.4933363,-117.0301235
76,,Miguel Hidalgo ,,Cdmx,,,,,,,,,,,,,,,,,2017-09-19 20:11:35,,,Ofrezco,,Manos,,19.4306575,-99.2083953
77,,Chapalita Inn,Zapopan,Jalisco,,,,,,,,,,,,,,,,,2017-09-19 20:13:21,,,Ofrezco,,"Comida, Agua, Artículos de limpieza",,20.6573253,-103.4446744
78,,El Ermitaño,Magdalena Contreras,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-19 20:13:57,,,Ofrezco,,"Comida, Agua, Transporte, Manos, Artículos de limpieza, Ropa",,19.3022655,-99.2653927
79,,Popotla,Miguel Hidalgo,Ciudad de Méxici,,,,,,,,,,,,,,,,,2017-09-19 20:14:27,,,Ofrezco,,"Agua, Manos, Artículos de limpieza",,19.4531418,-99.1802147
80,,Bosques de las lomas,Miguel Hidaldo,CDMX,,,,,,,,,,,,,,,,,2017-09-19 20:16:12,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza, Ropa",,19.3904162,-99.2550003
