Calle,Colonia,Delegacin,EspecialistasFaltantesseparaporcomas,Estado,Foto,HerramientasExistentes,HerramientasFaltantes,Hora,HoradelReporte,ManodeObraExistente,ManodeObraFaltante,MedicamentosExistentes,MedicamentosFaltantes,Municipio,NmeroExterioroAproximado,NmerodePersonasAtrapadas,NmerodePersonasDesaparecidas,NmerodePersonasFallecidas,NmerodePersonasLesionadas,NmerodePersonasRescatadas,OtraReferenciadeUbicacin,Timestamp,TipoDao,TipodeInfraestructura,TipodeUso,TipodelDao,Verificado,VveresExistentes,VveresFaltantes,VveresSobrantes,latitud,longitud
Paz Montes de Oca,General Anaya,Benito Juárez,Ingeniero,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,Ninguna,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,93.0,No sé,No sé,No sé,No sé,No sé,,9/22/2017 12:27:25,Daño,Edificio,Habitacional,Daño,Sí,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.3604104,-99.15792650000002
Moras,Acacias,Benito Juárez,Si tienes info entra a: http://bit.ly/Verificado19s,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,850.0,,,,,,Edificio Citibanamex,9/22/2017 13:31:33,Daño,Edificio,Comercial,Daño,No,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.3639783,-99.17595379999999
Rio panuco,Renacimiento,Cuauhtémoc,Si tienes info entra a: http://bit.ly/Verificado19s,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,11.0,0,0,0,0,0,,9/22/2017 13:50:48,Daño,Edificio,Habitacional,Daño,Sí,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.4298854,-99.1691796
Mesones,Centro historico,Cuauhtémoc,arquitectos,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,25.0,0,0,0,No sé,0,,9/22/2017 13:53:14,Daño,Edificio,Habitacional,Daño,Sí,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.428219199999997,-99.1323786
Río Sena ,Cuauhtémoc ,Cuauhtémoc,Si tienes info entra a: http://bit.ly/Verificado19s,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,Cuauhtemoc,0.0,0,0,0,0,0,Plaza nevada ,9/22/2017 13:55:32,Daño,Hotel,Hotel,Daño,Sí,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.3003621,-99.07889870000001
Valle de puebla ,Valle de aragon 2da secc.,No Aplica (fuera de CDMX),Si tienes info entra a: http://bit.ly/Verificado19s,Estado de México,,No aplica,No aplica ,,,No aplica,No aplica,No aplica,No aplica,,39.0,0,0,0,0,0,Entre valle de vistula y periferico.,9/21/2017 18:13:11,Daño,Apartamento ,Habitacional,Daño,Sí,No aplica ,No aplica ,Si tienes info entra a: http://bit.ly/Verificado19s,19.4238835,-99.1557946
Casas grande norte ,,Benito Juárez,Si tienes info entra a: http://bit.ly/Verificado19s,Estado de México,,N/a,N/a,,,N/a,N/a,N/a,N/a,,240.0,,,,,,Edificio negro y blanco ,9/21/2017 18:31:25,Daño,Edificio,Habitacional,Daño,Sí,N/a,N/a,Si tienes info entra a: http://bit.ly/Verificado19s,19.3923993,-99.1469262
Casas grande norte ,,Benito Juárez,Si tienes info entra a: http://bit.ly/Verificado19s,Estado de México,,N/a,N/a,,,N/a,N/a,N/a,N/a,,240.0,,,,,,Edificio negro y blanco ,9/21/2017 18:31:25,Daño,Edificio,Habitacional,Daño,Sí,N/a,N/a,Si tienes info entra a: http://bit.ly/Verificado19s,19.3923993,-99.1469262
Los álamos ,Arcos del alba ,No Aplica (fuera de CDMX),No,Estado de México,,No,No,,,No,Revisar el edificio ,No,No,Cuautitlan izcalli,54750.0,0,0,0,0,0,,9/21/2017 21:19:26,Daño,Edificio,Escuela,Daño,No,No,No,Si tienes info entra a: http://bit.ly/Verificado19s,19.399121,-99.1414643
Unidad habitacional tepozanes ,Floresta,No Aplica (fuera de CDMX),Ingeniero y Arquitecto,Estado de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,Los Reyes la paz,0.0,0,No sé,No sé,"Sí, pero no sé cuántos",0,Paseo del tepozan y Siervo de la Nación,9/22/2017 1:50:10,Daño,Edificio,Habitacional,Daño,Sí,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.269668600000003,-99.1129912
