"coordenadas","Calle","Colonia","Delegacin","EspecialistasFaltantesseparaporcomas","Estado","Foto","HerramientasExistentes","HerramientasFaltantes","Hora","HoradelReporte","ManodeObraExistente","ManodeObraFaltante","MedicamentosExistentes","MedicamentosFaltantes","Municipio","NmeroExterioroAproximado","NmerodePersonasAtrapadas","NmerodePersonasDesaparecidas","NmerodePersonasFallecidas","NmerodePersonasLesionadas","NmerodePersonasRescatadas","OtraReferenciadeUbicacin","Timestamp","TipoDao","TipodeInfraestructura","TipodeUso","TipodelDao","Verificado","VveresExistentes","VveresFaltantes","VveresSobrantes","latitud","longitud","direccion_Verificado","calle_Verificado","numero_Verificado","colonia_Verificado","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-99.0257241, 19.1957901","Durango","Roma Norte","Cuauhtémoc","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","0","0",NA,NA,"0","0","0","0","",167,"No sé","No sé","No sé","No sé","No sé","","9/21/2017 15:22:03","Daño","Edificio","Abandonado","Daño","Sí","0","0","Si tienes info entra a: http://bit.ly/Verificado19s",19.1957901,-99.0257241,NA,NA,NA,NA,NA,NA,NA,NA,19.1957901,-99.0257241
"-99.0293884277344, 19.5513786440659","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 19:55:19","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Comida",19.5513786440659,-99.0293884277344,"Secc. 21 37, Rio de Luz, 55100 Ecatepec de Morelos, Méx., Mexico","Sección 21","37","Rio de Luz","55100","Ecatepec de Morelos","Estado de México","Mexico",19.5513786440659,-99.0293884277344
"-99.036031, 19.3248356","Repúblicas","Portales Sur ","Benito Juárez","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","Benito Juárez ",105,"","","","","","","9/22/2017 15:58:47","Daño","Edificio","Habitacional","Daño","Sí","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.3248356,-99.036031,"Repúblicas 13, Desarrollo Urbano Quetzalcóatl, 09706 Ciudad de México, CDMX, Mexico","Repúblicas","13","Desarrollo Urbano Quetzalcóatl","09706","Ciudad de México","Ciudad de México","Mexico",19.3248356,-99.036031
"-99.0383148193359, 19.4186779958319","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 17:26:23","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Ayufa",19.4186779958319,-99.0383148193359,NA,NA,NA,NA,NA,NA,NA,NA,19.4186779958319,-99.0383148193359
"-99.0389021, 19.2937294","santo domingo","pueblo de santo domingo","Azcapotzalco","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","No","No",NA,NA,"No","No","No","No","",25,"0","0","0","0","0","san mateo y rey maxtla","9/20/2017 23:57:41","Daño","Edificio","Habitacional","Daño","Sí","No","No","Si tienes info entra a: http://bit.ly/Verificado19s",19.2937294,-99.0389021,"Santo Domingo 25, Santa Ana Sur, 13300 Ciudad de México, CDMX, Mexico","Santo Domingo","25","Santa Ana Sur","13300","Ciudad de México","Ciudad de México","Mexico",19.2937294,-99.0389021
"-99.0396805, 19.3566151","5 de Mayo","Zona Urbana Ejidal Santa Maria Aztahuacan","Iztapalapa","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","","Si tienes info entra a: http://bit.ly/Verificado19s",1506179243.12777,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",591,"0","0","0","No sé","0","esquina calle Hetminio Chavarria","9/23/2017 0:06:18","Derrumbe","Casa","Habitacional","Derrumbe","No","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.3566151,-99.0396805,NA,NA,NA,NA,NA,NA,NA,NA,19.3566151,-99.0396805
"-99.0403039, 19.3881983","Calzada Ignacio Zaragoza ","Juan Escutia","Iztapalapa","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","No","No",NA,NA,"No","No","No","No","",1840,"No sé","No sé","No sé","No sé","No sé","Clinica 25 del IMSS","9/20/2017 22:40:23","Derrumbe","Edificio","Hospital","Derrumbe","Sí","No","No","Si tienes info entra a: http://bit.ly/Verificado19s",19.3881983,-99.0403039,"Calz. Ignacio Zaragoza 1840, Juan Escutia, 09100 Ciudad de México, CDMX, Mexico","Calzada Ignacio Zaragoza","1840","Juan Escutia","09100","Ciudad de México","Ciudad de México","Mexico",19.3881983,-99.0403039
"-99.0452949, 19.3346876","Nardos","Jardines de Coyoacan","Coyoacán","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","Ninguno","Ninguno",NA,NA,"Ninguno","Ninguno","Ninguno","ninguno","",2,"0","0","0","0","0","Dalias y Miramontes","9/20/2017 23:33:10","Daño","Edificio","Comercial","Daño","Sí","Ninguno","Ninguno","Si tienes info entra a: http://bit.ly/Verificado19s",19.3346876,-99.0452949,"Nardos 5, Hank González, 09070 Ciudad de México, CDMX, Mexico","Nardos","5","Hank González","09070","Ciudad de México","Ciudad de México","Mexico",19.3346876,-99.0452949
"-99.0452949, 19.3346876","Nardos","Jardines de Coyoacan","Coyoacán","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","Ninguno","Ninguno",NA,NA,"Ninguno","Ninguno","Ninguno","ninguno","",2,"0","0","0","0","0","Dalias y Miramontes","9/20/2017 23:33:10","Daño","Edificio","Comercial","Daño","Sí","Ninguno","Ninguno","Si tienes info entra a: http://bit.ly/Verificado19s",19.3346876,-99.0452949,"Nardos 5, Hank González, 09070 Ciudad de México, CDMX, Mexico","Nardos","5","Hank González","09070","Ciudad de México","Ciudad de México","Mexico",19.3346876,-99.0452949
"-99.0452949, 19.3346876","Nardos","Jardines de Coyoacan","Coyoacán","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","Ninguno","Ninguno",NA,NA,"Ninguno","Ninguno","Ninguno","ninguno","",2,"0","0","0","0","0","Dalias y Miramontes","9/20/2017 23:33:10","Daño","Edificio","Comercial","Daño","Sí","Ninguno","Ninguno","Si tienes info entra a: http://bit.ly/Verificado19s",19.3346876,-99.0452949,"Nardos 5, Hank González, 09070 Ciudad de México, CDMX, Mexico","Nardos","5","Hank González","09070","Ciudad de México","Ciudad de México","Mexico",19.3346876,-99.0452949
